,INDEX,会社名,職種,必要言語,実務経験,掲載日,資本金,売上,自社サービス開発,未経験可,URL
91,92,アライドアーキテクツ株式会社,web系SE・PG（自社製品）,PHP,,2019/7/30,"8億3,100万円","40億8,800万円",〇,×,https://www.geekly.co.jp/search/detail/132738
92,93,エムスリーデジタルコミュニケーションズ株式会社,web系SE・PG（自社製品）,"Java,JavaScript",✓,2019/8/22,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/519810
93,94,auコマース＆ライフ株式会社,web系SE・PG（自社製品）,"Ruby,Python,Java,Kotlin",,2019/8/19,"13億3,540万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/31876
94,95,株式会社アイモバイル,web系SE・PG（自社製品）,該当なし,,2019/6/4,"1億1,700万円","179億8,100万円",〇,×,https://www.geekly.co.jp/search/detail/483462
95,96,株式会社ジーニー,web系SE・PG（自社製品）,"Java,JavaScript",,2019/4/26,"7億6,600万円","143億8,000万円",〇,×,https://www.geekly.co.jp/search/detail/432519
96,97,株式会社マクロミル,web系SE・PG（自社製品）,Java,,2019/9/3,"8億8,000万円","400億2,400万円",〇,×,https://www.geekly.co.jp/search/detail/307082
97,98,インフォコム株式会社,web系SE・PG（自社製品）,Ruby,,2019/3/6,"15億9,000万円","417億6,800万円",〇,×,https://www.geekly.co.jp/search/detail/212363
98,99,株式会社マクロミル,web系SE・PG（自社製品）,該当なし,,2019/9/3,"8億8,000万円","400億2,400万円",〇,×,https://www.geekly.co.jp/search/detail/307084
99,100,Sansan株式会社,web系SE・PG（自社製品）,該当なし,,2019/9/12,"62億3,400万円","102億6,000万円",〇,×,https://www.geekly.co.jp/search/detail/449679
100,101,株式会社ロケーションバリュー,web系SE・PG（自社製品）,PHP,,2019/9/3,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/510609
101,102,株式会社LIFULL,web系SE・PG（自社製品）,"Ruby,PHP,Java,JavaScript",✓,2019/9/3,"97億1,600万円","345億6,400万円",〇,×,https://www.geekly.co.jp/search/detail/487058
102,103,Glossom株式会社,web系SE・PG（自社製品）,"Ruby,Java",,2019/9/3,"1億4,100万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/471700
103,104,株式会社あしたのチーム,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java",,2019/9/3,"4億1,010万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/449684
104,105,株式会社OCEAN’S,web系SE・PG（自社製品）,該当なし,,2019/9/3,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/471702
105,106,ジョルダン株式会社,web系SE・PG（自社製品）,"Python,Java,JavaScript",,2019/3/25,"2億7,737万円",40億500万円,〇,×,https://www.geekly.co.jp/search/detail/433049
106,107,株式会社ブレイブソフト,web系SE・PG（自社製品）,PHP,,2019/3/1,"1,000万円","7億1,000万円",〇,×,https://www.geekly.co.jp/search/detail/260764
107,108,株式会社ビズリーチ,web系SE・PG（自社製品）,Java,✓,2019/7/7,41億円,"156億5,800万円",〇,×,https://www.geekly.co.jp/search/detail/502432
108,109,株式会社助太刀,web系SE・PG（自社製品）,PHP,,2019/8/9,"5,200万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/219297
109,110,株式会社スペースエージェント,web系SE・PG（自社製品）,該当なし,✓,2019/6/26,"1億9,600万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/237473
110,111,株式会社ビズリーチ,web系SE・PG（自社製品）,"Ruby,Python,Java,JavaScript",,2019/7/9,41億円,"156億5,800万円",〇,×,https://www.geekly.co.jp/search/detail/502433
